Country,GDP per capita,Population
Aruba,23512.602595639702,101669.0
Afghanistan,543.303041863931,29185507.0
Angola,3587.88379824396,23356246.0
Albania,4094.3503344202004,2913021.0
Andorra,40852.666777443395,84449.0
United Arab Emirates,33893.303514039,8549988.0
Argentina,10385.964431955501,40788453.0
Armenia,3218.37270660563,2877319.0
American Samoa,10271.2245225485,56079.0
Antigua and Barbuda,13049.257054573502,88028.0
Australia,52022.125596187594,22031750.0
Austria,46858.0432733717,8363404.0
Azerbaijan,5842.805783585761,9054332.0
Burundi,234.23564687499902,8675602.0
Belgium,44141.8781415734,10895586.0
Benin,1036.5339516446902,9199259.0
Burkina Faso,647.835846453449,15605217.0
Bangladesh,781.153593557047,147575430.0
Bulgaria,6809.8989841435405,7395599.0
Bahrain,20722.1372891347,1240860.0
"Bahamas, The",28443.4076553352,354942.0
Bosnia and Herzegovina,4635.51777931783,3705472.0
Belarus,6029.3967998293,9490583.0
Belize,4270.86434454699,322464.0
Bermuda,88207.3275597322,65124.0
Bolivia,1955.4615573609801,10048590.0
Brazil,11286.2430162457,195713635.0
Barbados,16056.3709766031,282131.0
Brunei Darussalam,35269.5531076448,388646.0
Bhutan,2258.18314115595,685503.0
Botswana,6434.81565688465,1987105.0
Central African Republic,488.421401781569,4386768.0
Canada,47448.0132198383,34004889.0
Switzerland,74605.7210207051,7824909.0
Channel Islands,,159734.0
Chile,12808.034586422,17062536.0
China,4550.45359583857,1337705000.0
Cote d'Ivoire,1213.1126450644301,20532950.0
Cameroon,1286.51557161767,20341241.0
"Congo, Dem. Rep.",334.021572573152,64563854.0
"Congo, Rep.",2812.43597442108,4273731.0
Colombia,6336.709213679879,45222700.0
Comoros,1316.4988481055198,689692.0
Cabo Verde,3378.2548595003495,492654.0
Costa Rica,8141.913126754609,4577378.0
Cuba,5730.354774594879,11225832.0
Curacao,,148703.0
Cayman Islands,73350.7848219067,56672.0
Cyprus,31023.6383309791,1112612.0
Czech Republic,19808.0710912518,10474410.0
Germany,41531.934197868904,81776930.0
Djibouti,1343.2687299443699,840198.0
Dominica,6967.26665433457,70878.0
Denmark,58041.398436338495,5547683.0
Dominican Republic,5555.38972190199,9695121.0
Algeria,4480.79927130159,35977455.0
Ecuador,4633.59035839904,15011117.0
"Egypt, Arab Rep.",2644.81703909751,82761235.0
Eritrea,501.35563326624606,3170435.0
Spain,30502.7197080776,46576897.0
Estonia,14790.8212220594,1331475.0
Ethiopia,341.554114905179,87639964.0
Finland,46459.973254854296,5363352.0
Fiji,3652.52743714193,859818.0
France,40638.33400426,65027507.0
Faroe Islands,48530.2338492813,47814.0
"Micronesia, Fed. Sts.",2885.44567636113,102911.0
Gabon,8849.355299715071,1624140.0
United Kingdom,39435.8399018505,62766365.0
Georgia,3233.29594347421,3786695.0
Ghana,1299.3449494603901,24779619.0
Gibraltar,,33585.0
Guinea,672.424402562443,10192176.0
"Gambia, The",860.637873688125,1793196.0
Guinea-Bissau,557.632132626126,1522599.0
Equatorial Guinea,17288.8595992193,943639.0
Greece,26917.7589787254,11121341.0
Grenada,7257.756622323191,106233.0
Greenland,43988.3324931946,56905.0
Guatemala,2898.94221470448,14259687.0
Guam,30700.4340081784,159444.0
Guyana,3033.24772490536,749436.0
"Hong Kong SAR, China",32549.998231121,7024200.0
Honduras,1904.34646496881,8317470.0
Croatia,13923.6285837055,4295427.0
Haiti,665.627419493396,9949322.0
Hungary,13113.5259617277,10000023.0
Indonesia,3122.3628152164897,241834215.0
Isle of Man,69766.5211886388,84857.0
India,1357.56371913262,1234281170.0
Ireland,48715.1768553933,4560155.0
"Iran, Islamic Rep.",6599.66093791004,73762519.0
Iraq,4657.28042580536,29741976.0
Iceland,43024.9234853499,318041.0
Israel,30693.5930786871,7623600.0
Italy,36000.5201179254,59277417.0
Jamaica,4704.05445468166,2810460.0
Jordan,3690.1132677867204,7261539.0
Japan,44507.6763859172,128070000.0
Kazakhstan,9070.48825285747,16321872.0
Kenya,951.687961116879,42030676.0
Kyrgyz Republic,880.037775119109,5447900.0
Cambodia,785.502282874113,14312212.0
Kiribati,1516.81186907787,102927.0
St. Kitts and Nevis,15508.7681119997,49016.0
"Korea, Rep.",23087.225643847596,49554112.0
Kuwait,38577.4982788212,2991884.0
Lao PDR,1140.59920478703,6249165.0
Lebanon,7761.6461905722,4953061.0
Liberia,513.445698620224,3891356.0
Libya,12064.780692421798,6197663.0
St. Lucia,8540.414378246469,174085.0
Liechtenstein,141200.380010278,35994.0
Sri Lanka,2799.64887619972,20261737.0
Lesotho,1137.27570186144,1995581.0
Lithuania,11957.084213606498,3097282.0
Luxembourg,104965.30607826699,506953.0
Latvia,11348.4062304673,2097555.0
"Macao SAR, China",52253.1553117325,538219.0
St. Martin (French part),,37582.0
Morocco,2839.9251680593297,32343389.0
Monaco,150725.194124207,35612.0
Moldova,2437.52997842423,2861487.0
Madagascar,471.959197029823,21151640.0
Maldives,7076.662423202379,365734.0
Mexico,9271.398233246391,114092963.0
Marshall Islands,2876.9949969840004,56366.0
